#{"t_start": 1728498993.2466264, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-283.172347,84,0.071064
-199.302897,163,0.167153
-119.006712,91,0.211191
-330.387188,158,0.294268
-194.608999,121,0.344313
-77.677731,143,0.415378
-219.072258,77,0.447407
-209.439017,83,0.489445
-159.812401,132,0.566515
-258.412019,87,0.603549
-88.083031,140,0.665605
-100.080036,160,0.745678
-268.619452,95,0.787717
-238.690244,93,0.829754
-368.563749,117,0.893812
-52.315092,76,0.926842
-92.72331,187,1.049955
-104.013438,115,1.104004
-93.397257,112,1.151046
-403.394408,120,1.204094
-315.730982,98,1.249135
-486.870349,178,1.338216
-71.849888,82,1.372247
-193.364319,83,1.405691
-181.178516,147,1.487765
-189.222504,108,1.54782
-135.476975,88,1.583853
-85.167329,69,1.610993
-123.08364,78,1.646026
-352.325668,80,1.679054
-148.154749,133,1.739112
-147.689127,72,1.772142
-384.585981,96,1.809953
-259.132003,170,1.909043
-183.131796,130,1.988115
-123.482097,185,2.094965
-217.351878,115,2.148017
-385.809574,122,2.20081
-101.845024,104,2.245851
-102.071518,101,2.286888
-106.683086,101,2.332934
-97.034085,110,2.378974
-432.1742,85,2.412004
-116.74134,159,2.505089
-196.956947,104,2.567145
-314.027093,128,2.618194
-113.539674,74,2.652226
-105.660281,101,2.694263
-274.003791,131,2.749313
-247.084581,125,2.808367
-353.798616,98,2.848403
-131.399161,105,2.896447
-126.330116,86,2.931479
-87.36348,70,2.969513
-231.642428,117,3.021562
-81.791817,89,3.058595
-90.713007,80,3.101633
-114.477602,86,3.14167
-91.717549,76,3.189713
-92.384494,130,3.257776
-372.410263,81,3.293313
-201.525258,114,3.352367
-37.626036,81,3.386398
-71.146992,68,3.414423
-109.142621,113,3.502503
-325.663471,89,3.544541
-90.864001,97,3.584579
-416.269345,91,3.62061
-161.739595,88,3.671658
-167.107971,109,3.7197
-94.630129,101,3.770747
-274.383681,113,3.836807
-81.524723,87,3.885852
-437.886507,203,3.998955
-350.700637,107,4.041994
-416.03577,129,4.105051
-316.213824,91,4.143085
-144.143036,83,4.177116
-97.742605,82,4.216152
-124.62449,72,4.245178
-340.948937,80,4.278207
-106.943355,127,4.340265
-404.415007,85,4.375297
-112.882433,122,4.442358
-111.95276,84,4.47739
-86.821431,93,4.521431
-12.433812,80,4.556461
-280.042491,84,4.593495
-56.992213,165,4.679573
-187.390683,152,4.755643
-126.682429,102,4.79768
-407.660478,80,4.828708
-35.388202,73,4.862739
-7.291797,83,5.523341
-329.617898,84,6.556278
-202.34688,91,7.567197
-242.937248,111,8.865376
-292.807211,352,13.062278
-79.78632,543,19.999099
-116.481128,394,24.783846
215.11969,548,32.038868
-73.789065,356,36.229676
14.703246,1000,49.364328
-115.940288,258,52.313082
-46.926032,210,54.812037
-77.005893,209,57.212155
-109.653061,274,60.407058
26.752553,261,63.475846
-20.174557,279,66.815418
-36.191166,273,70.102403
4.64165,258,73.03654
15.646626,187,75.245547
-101.361491,284,78.632624
7.830598,155,80.379725
