#{"t_start": 1728493429.4569967, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-269.193622,111,3.709379
-242.86291,94,3.745404
-476.136573,101,3.791445
-70.254757,77,3.827478
-91.370717,94,3.86452
-99.831281,100,3.908551
-38.797514,95,3.945594
-421.540569,96,3.980625
-75.851763,94,4.021663
-100.802046,80,4.05169
-265.984654,90,4.085721
-237.728923,123,4.140771
-422.023629,115,4.184811
-338.688406,104,4.350953
-586.798395,91,5.311826
-345.473428,216,7.657958
-79.124233,386,11.944858
-115.743905,1000,25.111822
-181.899052,438,30.026288
-82.686067,1000,41.211743
202.850026,687,49.649409
-57.701158,1000,62.728292
101.816306,986,75.577968
-42.474349,1000,88.254485
-116.05599,336,91.830736
-102.433198,808,101.567582
128.273435,802,110.979134
213.980667,332,114.50634
-327.319008,831,123.905884
-55.681956,1000,137.045823
-42.035526,1000,149.219885
-21.6823,1000,160.818424
-27.873832,135,162.191671
12.71933,337,165.813962
9.431354,427,170.297036
208.028777,490,175.634887
-39.430465,135,177.055177
-52.30997,160,178.677651
241.606982,281,181.664365
244.540569,932,191.999762
260.962773,645,199.236337
-137.10416,890,209.565722
-168.430152,779,218.336691
-61.425591,1000,229.70402
-173.375068,1000,241.501739
-158.4793,759,250.721116
205.383963,596,257.455235
190.963786,347,261.243677
116.074989,750,270.120743
-70.574352,1000,281.676243
-92.234359,1000,293.417911
-126.690789,1000,305.310717
190.702465,970,316.953296
-42.864391,1000,329.423626
-19.62001,1000,341.930991
136.318779,918,353.484488
271.529917,750,361.567833
-175.232545,419,366.061916
-166.033776,361,369.830341
-61.833661,1000,381.534979
239.955898,324,384.984113
10.206029,72,385.689754
17.594549,213,387.942801
32.740971,89,388.844621
-42.514564,1000,401.881466
17.777115,127,403.156625
263.917917,337,406.726868
222.050507,378,410.802572
27.70438,119,411.970633
269.795509,292,414.997383
22.507667,104,416.059349
52.727362,128,417.33751
-208.095103,948,427.69793
-19.468412,1000,439.725859
-36.804362,1000,451.119211
278.895586,257,453.732587
214.820891,936,464.120025
55.466742,153,465.653419
-62.994207,760,473.86688
-29.333949,113,475.00091
0.158211,143,476.446225
91.582822,968,488.714371
201.146523,354,492.489808
199.977077,436,497.268149
-86.237745,362,501.210731
287.454639,205,503.315644
189.810381,863,512.789252
141.149559,1000,523.622094
-132.994764,476,528.59161
254.202462,369,532.486148
235.545078,549,538.326456
255.054153,957,548.768944
97.77456,933,558.944191
2.081736,194,560.974035
244.975027,336,564.638364
219.462289,764,573.149097
249.787016,266,576.061743
190.149977,719,584.182122
267.832086,283,587.225888
285.715871,344,590.862193
254.219232,355,594.680661
211.683545,464,599.831342
259.43223,218,602.095399
287.133104,226,604.457545
26.010134,112,605.58457
-207.061664,170,607.415232
-190.67787,310,610.710227
26.367747,102,611.754176
24.608071,86,612.636977
18.448631,101,613.685931
213.95369,271,616.544528
-21.143255,94,617.500396
0.623823,84,618.34116
244.621275,345,622.156626
262.625353,310,625.45062
199.335417,476,630.796477
248.377516,361,634.704028
266.14257,231,637.118221
246.304609,270,640.060894
240.900222,305,643.340875
285.351434,338,646.970172
217.112821,482,652.278996
267.100642,229,654.629132
287.136219,179,656.445782
265.864042,215,658.684817
252.793166,160,660.296281
-134.334717,463,665.286815
229.635126,264,668.093365
252.300806,442,672.913745
276.386876,158,674.554236
-8.475157,81,675.365973
29.485285,97,676.336855
264.462719,775,684.755505
63.05117,195,686.799362
42.179814,74,687.541038
-16.918054,84,688.393811
24.933626,111,689.517832
255.182579,269,692.320378
49.254304,78,693.10309
234.882276,258,695.784527
270.466301,322,699.136572
311.728067,209,701.272513
276.109713,174,703.074149
243.793946,207,705.197078
159.028224,1000,716.265134
154.4389,762,725.301351
271.841437,424,729.943573
-35.418178,69,730.715278
78.097473,175,732.570964
279.467448,322,736.074147
262.504433,247,738.689523
241.264076,217,740.935564
266.753593,190,742.990431
225.33363,260,745.790976
289.399076,187,747.782785
-86.861118,1000,759.361305
248.660934,323,762.880504
175.02283,524,768.628727
287.479938,293,771.763575
259.312131,263,774.574128
270.742694,163,776.3037
307.880961,233,778.759932
255.089332,255,781.456381
239.575512,218,783.762477
266.118527,222,786.172667
194.309339,505,791.767751
266.768889,216,794.055831
235.065891,316,797.685127
243.869281,359,801.603688
293.278659,197,803.703596
263.229917,185,805.643358
298.217748,210,807.903411
276.258796,241,810.513783
280.662499,261,813.293309
255.590461,195,815.372199
278.381522,222,817.713325
201.042798,313,821.25054
280.378333,210,823.506589
18.443207,130,824.87283
278.351821,228,827.310045
261.93633,220,829.652173
244.545658,280,832.788023
14.685188,74,833.560724
278.478248,246,836.207129
142.035542,860,846.467452
267.457774,188,848.433238
-27.713727,113,849.606304
257.589473,683,857.244243
238.373176,271,860.154887
231.330957,176,862.106662
281.900754,220,864.559891
293.860396,278,867.697743
272.38393,301,871.001744
251.79318,199,873.13168
266.489009,197,875.269622
274.718475,249,878.098193
285.16997,187,880.135042
246.540214,273,883.11475
257.202163,278,886.254604
243.021269,229,888.754874
258.150289,171,890.576531
38.278469,111,891.76461
253.439237,217,893.981624
190.077276,753,902.625478
268.358268,240,905.164786
214.855197,502,910.63876
300.769831,355,914.496264
296.341934,320,917.865325
269.908245,294,920.982157
254.090849,246,923.567507
245.972881,189,925.507268
269.340329,425,930.012362
276.328237,315,933.317364
229.071342,193,935.257128
294.825884,348,939.042566
239.158267,331,942.558762
291.531627,270,945.401345
274.131025,200,947.430188
240.695229,200,949.536101
237.309237,199,951.590969
229.8402,231,953.965126
274.916983,215,956.206161
256.015043,335,959.793421
259.047584,266,962.596968
273.255486,257,965.247377
276.346143,325,968.647466
238.086009,206,970.78641
163.766093,531,976.518618
252.510465,202,978.649554
268.658753,235,981.132812
281.091316,212,983.457923
293.313072,388,987.690769
238.673804,446,992.650275
291.402759,262,995.372749
276.138364,283,998.338444
269.527994,241,1000.836714
266.712023,635,1008.261459
250.292097,193,1010.258275
259.146061,187,1012.278109
