#{"t_start": 1728493429.4569967, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-138.922112,122,0.07807
-159.667687,128,0.141129
-176.878895,138,0.194176
-70.839301,81,0.226206
-100.004828,124,0.281256
-54.205204,77,0.309281
-79.709549,63,0.332302
-107.918859,89,0.369335
-220.32092,102,0.408372
-110.098305,81,0.453413
-269.567219,118,0.498453
-119.125578,152,0.569526
-365.904129,81,0.600554
-288.258589,106,0.640583
-410.788382,102,0.684631
-334.713089,88,0.71666
-390.739132,88,0.74969
-210.425425,99,0.790727
-370.005481,89,0.823757
-100.219082,115,0.880809
-320.340951,108,0.920845
-63.646543,70,0.94586
-172.466711,98,0.986905
-51.893111,97,1.025941
-93.760732,103,1.065977
-215.86038,101,1.109016
-502.33173,135,1.163065
-129.73717,84,1.200099
-82.839021,81,1.230126
-161.843449,139,1.31019
-78.691034,94,1.348225
-459.244855,94,1.382256
-378.196836,87,1.41929
-102.565584,95,1.454321
-48.334882,76,1.482347
-306.831959,87,1.52039
-76.898762,80,1.549416
-99.393255,115,1.593456
-114.089552,100,1.636496
-167.190879,106,1.676532
-5.503167,146,1.748597
-100.287412,106,1.789626
-194.653874,86,1.823657
-435.803189,107,1.867697
-299.248824,87,1.900727
-67.545898,166,1.978806
-365.101173,94,2.013838
-98.139487,76,2.045867
-248.891548,146,2.110927
-426.112471,121,2.164976
-336.854084,96,2.201009
-291.503551,84,2.233037
-109.469657,97,2.280071
-195.233752,112,2.337123
-217.734543,113,2.38817
-113.986265,104,2.429207
-309.597718,124,2.485258
-83.959551,133,2.538307
-137.240005,99,2.589354
-179.125459,137,2.645404
-107.323056,109,2.687442
-142.110839,111,2.736486
-156.065934,154,2.801555
-290.587745,93,2.838579
-113.747705,106,2.879625
-98.369599,73,2.911646
-203.260485,121,2.960699
-67.531843,78,2.998733
-205.572947,113,3.04877
-424.769152,95,3.084812
-158.443699,96,3.127842
-341.446448,86,3.160872
-168.645532,172,3.248953
-159.761531,104,3.292992
-121.570175,95,3.330026
-103.993487,116,3.380071
-83.022411,100,3.426113
-350.25086,100,3.471154
-101.577442,73,3.497178
-255.638331,98,3.534211
-108.152194,94,3.574248
-519.844501,124,3.623292
-309.154961,100,3.664329
