#{"t_start": 1728500199.8687885, "env_id": "LunarLanderContinuous-v2"}
r,l,t
10.30213,77,0.073066
-379.488411,99,0.128116
-92.658799,137,0.201182
-274.809159,104,0.252229
-304.150692,209,0.36333
-136.778686,122,0.416378
-83.253398,99,0.465423
-185.836177,113,0.511464
-264.966821,88,0.568516
-48.882975,81,0.603548
-136.19793,106,0.647589
-339.642748,89,0.689627
-64.587609,66,0.71665
-65.140602,90,0.750682
-268.548814,126,0.812738
-314.573238,125,0.864786
-290.644994,116,0.916833
-68.756675,77,0.948861
-399.660517,157,1.062965
-331.523446,101,1.110008
-220.902912,91,1.147042
-126.688374,130,1.209098
-498.334255,137,1.268152
-76.941262,94,1.306186
-410.371318,93,1.350226
-294.798125,169,1.428298
-83.126069,90,1.467334
-184.903398,141,1.542401
-422.240542,99,1.588443
-329.715149,72,1.61847
-337.452759,115,1.67352
-366.453679,180,1.769608
-118.986123,165,1.846677
-332.689848,98,1.894721
-128.342981,116,1.941764
-137.010972,94,1.99281
-101.398045,154,2.062874
-132.595235,83,2.101909
-305.980288,91,2.13594
-397.160103,116,2.188989
-393.306259,85,2.223019
-210.241082,104,2.265058
-49.866091,82,2.305094
-276.167248,135,2.361144
-299.256222,110,2.420198
-168.421444,102,2.463238
-51.402391,72,2.496268
-34.463825,79,2.540308
-89.235949,124,2.593356
-265.363547,123,2.655412
-102.548705,93,2.694448
-91.212427,114,2.750499
-70.091428,100,2.793538
-396.272019,109,2.844585
-57.676514,122,2.90664
-160.095769,71,2.93867
-59.288939,65,2.962691
-302.067383,108,3.005731
-169.941708,132,3.07079
-462.389796,112,3.11583
-57.744362,90,3.159871
-110.92046,92,3.197905
-45.158407,83,3.231936
-120.428536,73,3.26897
-156.37627,85,3.305002
-375.451844,88,3.354048
-327.465851,88,3.392082
-243.852326,132,3.449134
-65.021903,70,3.485166
-91.541398,107,3.528205
-240.660822,100,3.573246
-125.683066,142,3.636303
-136.265355,104,3.683347
-202.021231,146,3.747405
-41.328785,143,3.826476
-402.928399,187,3.923565
-123.226716,91,3.958597
-403.444676,120,4.020653
-376.986534,109,4.076704
-78.134147,88,4.119743
-243.312504,76,4.150771
-33.339299,126,4.214829
-87.540052,103,4.259871
-407.016024,105,4.318924
-249.981661,83,4.356959
-207.175131,84,4.392991
-122.541125,110,4.44704
-195.874497,166,4.52311
-415.307433,176,4.610188
-121.288842,131,4.670243
-279.125012,120,4.726294
-139.595948,148,6.279705
-183.62128,83,7.355343
-62.155835,155,9.311594
-113.570383,636,18.449239
-57.86801,1000,33.494037
126.045442,870,45.946132
-141.296298,542,53.114105
-110.610489,211,55.816344
-144.014112,247,58.682992
-128.270112,464,64.65542
-163.616921,333,68.697827
-131.705376,314,72.522156
-98.875442,502,78.907413
-129.003598,1000,93.365318
-31.182653,1000,107.357189
-60.851377,1000,121.118735
80.281517,869,132.219128
-82.65362,394,136.95607
145.428979,415,142.422058
157.611992,453,148.411829
-45.453829,841,159.723819
-53.118786,185,162.061944
-49.367597,203,164.534189
-74.38158,227,167.409401
119.226887,405,172.797714
-72.003231,165,174.844574
-108.427864,211,177.491565
-91.097665,168,179.550435
-77.951519,165,181.4932
-90.708649,144,183.261808
5.542939,240,186.26627
-216.874952,289,189.708816
-31.154385,386,194.481664
-254.926399,656,203.152217
-128.522464,300,206.90862
-181.30159,418,212.206434
146.166698,529,218.804224
-222.176529,580,226.144442
-123.978413,752,236.210472
138.94515,621,244.247566
-15.342573,1000,258.526761
-179.999081,823,269.364848
134.78098,854,280.537426
-150.778997,1000,294.388603
-91.170617,1000,308.142972
-10.590222,1000,322.747
-2.15186,1000,337.896884
-1.246132,1000,351.996055
-62.122275,1000,367.666278
43.161855,81,368.694213
-62.639462,1000,381.836918
-70.183698,1000,394.893942
-47.653432,1000,408.763834
-8.008139,1000,422.727402
-53.259036,1000,436.566699
-30.078969,1000,450.893568
250.22796,153,452.66818
235.066153,268,455.958169
-23.949633,211,458.518057
-13.176105,105,459.725161
19.935997,1000,472.970307
171.970446,518,479.606337
234.011732,533,486.376343
14.119407,1000,501.538452
221.751668,644,510.19162
13.606258,1000,524.225687
249.311465,385,529.218541
22.326712,142,530.8919
-110.455332,413,536.387903
-107.454954,60,537.122573
