#{"t_start": 1728491024.7717369, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-239.043653,106,0.089081
-106.08758,110,0.174158
-172.605531,108,0.245223
-164.585587,106,0.298271
-238.466113,82,0.334304
-363.576054,91,0.389354
-397.011428,92,0.435395
-131.919146,85,0.476433
-467.355988,117,0.530482
-137.193916,68,0.568517
-173.644712,86,0.628572
-94.990794,123,0.695632
-337.412703,109,0.743676
-104.492383,84,0.785714
-148.14544,126,0.838762
-153.608974,110,0.889809
-331.866264,78,0.921838
-477.970602,123,0.975887
-306.906793,90,1.018927
-349.36984,84,1.051956
-345.431576,88,1.101
-216.255415,115,1.149045
-79.129218,89,1.184076
-77.075058,132,1.248134
-204.003872,74,1.27616
-313.540864,76,1.312192
-238.007853,113,1.361237
-126.05546,91,1.397269
-329.204886,97,1.442311
-174.014283,149,1.523385
-295.771731,109,1.569426
-370.807045,87,1.618471
-388.066303,97,1.659508
-72.930035,75,1.688534
-254.229287,116,1.746587
-64.869206,153,1.81465
-157.156229,136,1.878707
-310.691185,102,1.920745
-305.161129,100,1.965786
-73.526709,146,2.037852
-276.331781,104,2.086897
-249.644635,126,2.137943
-42.296723,169,2.22302
-145.329317,127,2.282073
-224.2918,101,2.323111
-304.240308,176,2.412192
-391.919451,112,2.479254
-116.194571,147,2.544312
-352.139998,135,2.606368
-275.031537,158,2.675431
-405.096011,103,2.723475
-40.194612,78,2.7515
-64.702943,66,2.776523
-79.390964,101,2.821564
-427.199412,114,2.869608
-22.177593,75,2.919653
-183.923677,121,2.969698
-173.175486,96,3.013738
-225.130899,96,3.053775
-333.509922,96,3.094812
-455.999584,108,3.144857
-334.819301,93,3.181891
-590.99093,111,3.233939
-35.097933,84,3.266969
-431.625119,142,3.333028
-211.451396,121,3.39008
-100.434467,130,3.450135
-87.411765,96,3.486167
-361.489543,86,3.5222
-438.981565,130,3.579253
-67.249916,95,3.616286
-183.047273,99,3.660326
-96.085028,139,3.719379
-323.575038,90,3.760417
-264.856583,133,3.824475
-206.393843,69,3.856504
-319.369894,142,3.914557
-103.481892,103,3.960598
-393.786958,90,3.993629
-454.676686,111,4.03867
-97.467426,109,4.086714
-122.21269,152,4.150771
-229.265013,138,4.215831
-292.636128,96,4.265876
-317.756755,107,4.309917
-137.84267,88,4.344948
-161.768255,107,4.403002
-108.124414,132,4.45705
-243.435874,190,4.552136
-271.653988,85,4.593175
-162.481018,123,4.641217
-85.125363,76,4.671244
-642.016238,100,5.886348
-102.919184,113,7.180525
-119.659911,173,9.150314
-156.098859,241,12.045945
-183.849289,173,13.957682
-86.748675,171,15.839392
-371.579368,91,16.817281
-101.902297,131,18.317643
-457.050039,108,19.462684
-37.780002,117,20.73384
-361.75522,623,28.37278
-171.860274,472,34.224097
-73.214389,1000,48.022634
-397.42463,968,59.973493
-89.844887,701,68.457201
-34.209445,283,71.50497
-71.137419,320,75.158308
-134.943771,704,84.214537
-54.239904,537,91.26194
-15.973266,305,95.076412
137.08606,699,104.18869
-80.020355,423,108.951018
-21.609841,352,112.921626
-338.842084,451,117.941187
-214.669815,1000,130.802283
-157.782739,1000,143.201549
-86.526907,1000,157.367116
57.157284,1000,171.24122
-55.303986,448,176.395903
-62.614637,1000,190.503197
-92.834506,400,195.57131
-55.295127,1000,208.099331
1.637572,1000,222.313244
-11.854491,1000,234.922571
-13.587402,1000,246.948914
-77.412084,1000,260.4321
-141.829365,186,262.441926
-41.225136,1000,275.108282
-246.723731,374,279.728482
-91.377834,1000,291.936574
71.55123,103,292.995535
-219.634366,204,295.188528
-71.576454,1000,306.455765
