#{"t_start": 1728497857.2214632, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-130.267078,93,0.076069
-253.116041,139,0.162147
-106.266409,173,0.261237
-403.987005,139,0.324295
-294.238369,235,0.47243
-374.438385,95,0.509462
-271.206938,83,0.544495
-65.066041,118,0.618562
-214.587166,97,0.6586
-354.565889,101,0.707644
-338.205207,121,0.766538
-413.59037,102,0.818587
-163.6284,93,0.854619
-47.082727,87,0.895656
-284.678822,97,0.937694
-358.536126,137,1.000752
-330.003299,94,1.061807
-332.683693,91,1.10885
-207.913476,109,1.157894
-366.241927,141,1.225956
-91.342916,120,1.275
-53.016119,85,1.309031
-271.89313,90,1.351069
-331.884903,104,1.391106
-330.595606,98,1.439149
-117.121334,101,1.485192
-51.274005,132,1.557256
-281.663737,99,1.596292
-157.996917,81,1.631325
-393.201124,127,1.687375
-269.519844,185,1.78046
-50.243475,103,1.8245
-150.403096,103,1.873545
-135.223425,77,1.90257
-46.722954,94,1.940606
-65.684884,95,2.00066
-316.191813,93,2.038694
-401.659314,102,2.086737
-325.771702,87,2.120769
-262.13148,166,2.201347
-197.408146,136,2.258359
-317.297434,133,2.320416
-92.008069,117,2.373467
-129.484085,114,2.423512
-440.376499,113,2.482568
-163.845383,84,2.517599
-122.653261,87,2.551632
-249.242041,128,2.610686
-115.255366,107,2.653728
-131.384095,111,2.703773
-277.007459,93,2.739806
-72.387454,125,2.795416
-167.139891,143,2.859476
-135.34425,100,2.933542
-338.762582,75,2.963569
-539.305588,121,3.016618
-353.270232,92,3.053651
-216.564143,113,3.099693
-245.759557,125,3.157747
-203.069145,102,3.197782
-421.950638,81,3.236818
-152.750535,133,3.291867
-322.863836,75,3.320894
-195.044807,106,3.374943
-300.068615,137,3.439001
-501.859422,86,3.476035
-392.121598,142,3.538091
-19.106179,77,3.571443
-73.3754,109,3.614482
-57.797226,75,3.646511
-266.53592,98,3.693554
-323.28946,144,3.765655
-197.564735,82,3.812206
-104.906357,208,3.94222
-348.467888,168,4.052458
-121.151556,71,4.098752
-60.95863,82,4.141933
-204.22119,113,4.205632
-269.628979,99,4.250278
-106.246264,62,4.276409
-101.979877,169,4.392667
-221.744063,97,4.461238
-288.753435,100,4.525296
-360.881315,113,4.568336
-94.286997,93,4.624472
-273.568215,126,4.691451
-272.016588,116,4.749504
-336.113294,172,4.842589
-158.51308,149,4.908648
-301.182944,136,6.597925
-75.923251,108,8.08951
-229.195267,336,12.394328
-129.478993,827,24.362254
5.157925,1000,37.544957
-107.05522,274,40.887994
3.50723,230,43.474917
-22.752856,239,46.175939
-98.157443,152,47.844285
-45.987363,166,49.679952
-78.204365,138,51.285412
13.36807,141,52.806587
-95.193393,216,55.165483
-1.378819,249,57.965226
-277.366938,477,63.83108
-37.400166,172,65.698047
-95.097674,465,71.588371
15.012495,229,74.386169
-112.788093,579,81.681934
-74.524385,810,91.702234
2.765327,1000,105.373782
-38.758968,1000,117.761451
9.110244,1000,130.720055
17.745847,1000,144.511694
-55.242636,1000,158.089889
-31.735929,1000,171.25894
-13.274851,1000,184.191063
-48.4981,1000,198.576607
-182.767739,1000,212.457803
-155.549992,1000,226.167162
-170.891818,1000,239.773592
-79.921457,1000,253.530392
-126.877701,366,257.995918
-107.221362,1000,270.757656
-19.883976,1000,283.018756
-110.588631,1000,296.023482
-81.448103,1000,309.948461
-50.944117,1000,324.224998
-169.121253,691,333.786369
-225.397379,617,342.00884
-181.086146,186,344.039685
-143.183471,149,345.756766
-66.513096,111,346.993899
-162.262633,729,356.793972
243.680134,227,360.307164
10.329836,1000,374.228816
15.018322,1000,387.430658
-178.394516,876,400.458901
59.077347,1000,414.68192
210.567889,524,421.696252
-16.741029,1000,435.09928
-0.231253,1000,447.143387
-16.253301,1000,460.874635
-58.043638,1000,474.609948
-110.239107,1000,486.826164
-40.827731,1000,501.452113
230.156145,359,505.742729
87.702873,938,518.246691
192.060635,862,529.904936
280.755606,359,534.070722
279.080022,227,536.577522
270.593205,221,539.062977
260.647104,349,543.433949
281.812865,189,545.793092
22.135953,103,546.937131
251.555646,301,550.388267
36.554314,117,551.66743
217.254531,245,554.599093
33.419268,181,556.593907
-181.813442,286,559.83385
235.954754,260,562.833575
266.308594,454,568.156411
258.93199,245,570.986983
11.596266,134,572.441308
257.675126,495,578.141487
247.138889,475,583.57042
-35.678968,1000,596.401078
292.304579,248,599.157583
28.282997,98,600.455768
249.663568,678,609.052009
23.158475,170,610.904693
257.366112,425,616.22259
243.909649,581,623.49556
-14.118676,1000,635.252243
251.58613,416,640.408937
281.149943,259,643.484731
312.623197,310,647.098015
232.784663,804,657.773919
164.074404,499,664.135699
241.821947,273,667.377645
275.012673,266,670.548308
288.623915,230,673.365869
232.775029,469,678.580606
199.432858,670,687.183424
295.636792,257,690.27824
250.897414,657,698.020276
271.211638,164,699.895978
235.91531,696,708.543532
263.165363,269,711.542258
228.075856,297,714.753175
234.130334,489,720.530427
277.346367,185,722.926605
261.52739,158,724.906403
227.665333,469,730.803529
255.288086,186,733.061895
264.57,247,736.053804
276.493664,240,738.859354
239.938311,415,744.233122
258.626768,203,746.918562
255.848009,418,752.077681
256.219207,220,754.723351
244.655011,200,757.041456
274.860192,297,760.673871
292.175743,200,763.079497
254.183661,271,766.309432
263.55076,225,768.96985
259.068982,184,771.164062
255.924166,175,773.322031
291.728484,308,777.100958
247.42012,457,782.583045
293.12217,220,785.033271
274.3358,168,786.796874
247.824931,331,790.439182
261.031884,205,792.738748
277.249745,182,794.747574
246.665136,194,796.91254
248.33856,245,799.547935
255.612427,210,801.834012
285.656039,218,804.223182
257.728737,438,809.133644
296.58271,366,813.166308
274.929371,244,815.800702
263.161265,204,817.934641
294.313253,271,821.004432
271.443014,234,823.874037
251.339082,503,829.818917
295.079809,152,831.444381
283.402748,387,835.718964
246.841236,204,838.288297
252.875742,178,840.684326
21.484613,132,842.284932
271.33358,155,844.197666
265.320357,174,846.165457
294.619652,147,847.710861
-22.076371,152,849.375374
279.61885,162,851.106947
1.752289,126,852.56327
-60.118581,151,854.157719
282.562279,151,855.764179
298.420241,211,858.304487
286.152529,190,860.647616
239.902621,245,863.455142
280.782799,177,865.352867
278.307784,248,868.166423
265.702904,244,871.149135
267.351382,187,873.119925
288.730075,319,876.91889
282.157368,371,881.284122
285.70597,265,884.495039
279.208419,292,887.893237
249.438077,365,892.4654
271.349883,192,894.742468
268.721754,158,896.525087
292.690072,242,899.475768
109.188894,1000,911.97538
249.873877,221,914.589754
237.071666,222,917.215784
272.751627,192,919.589524
270.765988,179,921.702525
257.526441,256,924.72327
252.527088,275,928.034334
248.159485,178,930.283524
230.076006,192,932.682343
246.22411,170,934.699174
275.293073,181,936.826657
269.684108,173,938.889534
277.251606,237,941.576616
278.063635,256,944.486258
254.34903,244,947.197722
254.755889,210,949.569878
276.603675,225,952.083162
285.114922,186,954.119011
298.974763,198,956.396081
309.407357,183,958.415915
245.644462,254,961.387616
282.147756,216,964.241208
273.262505,182,966.634383
275.622543,183,968.987521
265.992688,213,971.486792
280.341636,166,973.332469
279.374508,158,975.1281
274.017846,432,980.604077
289.090748,319,985.0067
236.54229,307,989.222886
260.837202,211,991.911326
238.694799,257,995.215358
245.772801,241,998.495301
269.756073,203,1000.821414
251.307163,435,1006.223444
283.47767,159,1008.183225
266.859384,230,1010.833999
276.447715,158,1012.609614
250.840132,338,1017.132871
260.088818,441,1022.893803
298.050324,165,1024.806539
254.625037,329,1029.318275
283.402128,368,1034.478479
248.580453,205,1037.210569
268.554425,323,1041.647098
272.227502,184,1043.903148
281.377787,539,1050.93022
257.102022,196,1053.633681
284.287854,246,1056.4062
249.210714,193,1058.626219
243.021793,169,1060.456881
283.188748,144,1062.011294
214.767489,181,1064.169255
264.078773,193,1066.286178
270.850571,220,1068.77544
272.370625,190,1070.823301
11.146819,92,1071.808195
306.36143,247,1074.4546
14.11129,82,1075.322389
275.342022,353,1079.245953
261.040014,243,1082.158619
236.4839,223,1084.826042
242.423009,352,1088.692556
246.33172,196,1090.794465
241.712704,147,1092.652156
243.467431,178,1095.141419
265.229726,283,1098.766713
239.267759,200,1101.482179
204.391473,374,1106.340465
292.418794,300,1110.728519
255.043659,305,1115.003765
267.709844,416,1119.767391
262.89525,537,1126.176214
280.754692,273,1129.156923
297.443311,207,1131.499051
296.519627,236,1134.212516
