#{"t_start": 1728494443.6698647, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-291.82801,124,0.077069
-128.990617,95,0.126114
-415.827639,95,0.163148
-183.51894,78,0.195177
-95.402349,129,0.251228
-75.323811,78,0.280254
-382.888649,171,0.356323
-137.385241,69,0.381346
-311.84022,103,0.421382
-194.007065,110,0.482438
-95.098369,69,0.507461
-96.484211,96,0.546497
-89.266629,76,0.575522
-302.596578,138,0.632583
-244.743485,157,0.703648
-151.617069,77,0.732674
-328.516776,138,0.792728
-432.732128,149,0.854784
-58.985622,78,0.901819
-331.096907,129,0.951873
-121.975432,86,0.988907
-251.267431,105,1.030936
-33.982924,73,1.06897
-407.594464,84,1.103002
-110.770336,93,1.138033
-334.67231,98,1.179071
-144.771976,104,1.220108
14.494158,85,1.253138
-265.495658,125,1.323202
-193.751223,72,1.349234
-171.651096,126,1.403275
-278.350592,95,1.439316
-91.786755,72,1.46634
-107.033437,68,1.495366
-82.430666,70,1.520389
-88.723597,101,1.556414
-71.404204,78,1.586442
-110.389866,76,1.61847
-271.063597,116,1.664512
-440.000199,92,1.703547
-211.828699,139,1.773619
-88.206194,82,1.808643
-260.573355,120,1.856695
-57.491774,76,1.882719
-273.126413,92,1.923756
-332.660799,104,1.962792
-327.868309,134,2.020835
-273.67047,144,2.080899
-342.004335,84,2.116931
-130.962476,101,2.162973
-214.989499,107,2.20401
-176.944371,132,2.262064
-117.049801,117,2.307104
15.595046,102,2.350143
-291.839613,97,2.386176
-293.948261,104,2.425212
-307.277835,105,2.469252
-411.572166,101,2.509288
-43.970016,120,2.569343
-97.012228,79,2.598369
-218.98773,144,2.663428
-62.412397,84,2.693455
-289.359404,101,2.732491
-115.432717,131,2.78754
-286.451187,88,2.818569
-58.809481,132,2.87462
-240.245994,83,2.905648
-27.534748,86,2.937677
-391.625745,111,2.996731
-447.938054,91,3.032755
-165.672575,130,3.102819
-337.452959,91,3.140854
-306.485466,85,3.178888
-498.193439,105,3.219925
-97.078724,158,3.29099
-53.15187,79,3.321017
