#{"t_start": 1728501417.0438273, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-102.395294,73,0.061056
-310.285917,88,0.10584
-158.097245,121,0.173903
-187.848724,104,0.220945
-145.110727,108,0.26999
-77.407818,181,0.365078
-92.15663,81,0.403116
-98.301007,91,0.437148
-121.923267,110,0.489194
-110.467522,77,0.556256
-225.132619,93,0.603299
-52.008806,87,0.636328
-164.997579,98,0.679368
-107.957455,93,0.7144
-71.107414,78,0.743426
-244.224252,108,0.793471
-420.63392,90,0.828503
-409.414852,138,0.894563
-113.283285,116,0.942607
-366.034235,93,0.989649
-195.287647,93,1.027684
-83.334711,119,1.074727
-92.118944,165,1.160805
-470.03684,131,1.223862
-226.294753,109,1.267902
-419.471195,154,1.34197
-273.664297,85,1.376001
-353.769967,105,1.424044
-207.469408,68,1.458075
-188.367072,164,1.537147
-417.906318,109,1.583189
-102.236431,113,1.635236
-493.458882,105,1.681278
-107.316396,82,1.728322
-411.715405,90,1.765354
-264.725379,165,1.849431
-67.124327,62,1.874454
-193.299955,112,1.933507
-85.495648,143,1.999568
-212.957308,95,2.041605
-176.009428,130,2.098658
-19.66317,121,2.155709
-134.902189,168,2.230777
-152.218761,133,2.291833
-225.477014,94,2.328867
-363.959061,171,2.422952
-258.606417,121,2.480004
-139.366589,80,2.512033
-341.870058,92,2.547065
-99.613821,71,2.583097
-255.780837,97,2.624135
-374.698853,112,2.673181
-308.770756,132,2.731232
-373.24795,86,2.766264
-293.152468,91,2.810304
-119.5368,85,2.851341
-43.364071,162,2.930414
-322.816913,90,2.966445
-366.338484,99,3.014489
-76.865909,103,3.062533
-97.418035,218,3.195654
-80.137321,126,3.25571
-232.235291,154,3.337783
-230.923484,114,3.38783
-120.356672,97,3.436873
-70.224923,84,3.475908
-331.850339,86,3.508939
-65.476949,72,3.541969
-379.044679,91,3.579003
-387.833751,79,3.611032
-72.309069,88,3.649066
-204.344963,86,3.683097
-248.605118,96,3.72013
-254.040929,84,3.768176
-518.404493,155,3.835235
-400.197688,106,3.886281
-424.247733,115,3.937328
-206.44817,115,3.99438
-442.25957,169,4.078457
-323.805352,97,4.121495
-189.802872,148,4.188557
-473.391653,130,4.253615
-328.232703,94,4.295654
-276.954509,96,4.336691
-285.611957,98,4.373725
-204.381403,109,4.426772
-56.080045,137,4.487828
-475.50091,126,4.548885
-393.588,128,4.606936
-108.60937,105,4.667992
-522.230397,124,5.501749
-139.99415,98,6.813941
-145.216781,93,8.081916
13.322976,148,9.96955
-6.070806,136,11.632061
-185.137013,215,14.376555
-210.126576,982,28.799469
-31.392127,369,33.536746
-104.57396,261,36.856762
-57.378975,169,39.058873
-113.844187,583,46.735364
125.283983,407,51.918086
227.517918,530,58.663926
-68.697895,159,60.656741
-67.886938,179,62.822708
179.018453,292,66.648688
-95.973326,342,71.033284
-53.846333,165,73.038105
-15.387897,312,76.895697
152.854731,962,90.291485
-64.425145,483,96.669738
-136.881984,262,100.229185
-38.163109,211,102.734461
-162.796752,888,114.565133
-53.723956,1000,129.454317
38.729178,395,134.467872
-291.507163,912,146.517098
-25.185312,220,149.122852
-49.76751,373,153.951746
-111.38746,216,156.708138
-126.831327,301,160.410501
-110.847247,1000,172.821749
-162.671816,223,175.484853
-125.528995,174,177.497682
-137.977969,163,179.394406
-162.960347,541,186.458704
-7.561817,1000,200.286903
175.69925,725,209.907936
-38.847823,1000,223.614017
-15.143941,1000,236.963106
-218.423365,973,251.212368
-211.207411,270,254.855849
-115.92509,230,257.886602
-128.57771,404,262.981525
-107.165805,209,265.517828
-90.917506,1000,279.669247
-68.43173,289,283.316235
-98.521916,422,289.328204
63.833908,575,297.091999
-133.563886,528,304.740951
-39.17245,226,307.786224
-170.381815,394,313.57819
-60.630355,1000,327.544539
-145.190042,383,332.249459
-14.621028,1000,345.493311
-57.909647,302,349.089842
-142.681533,604,356.650802
-125.478339,161,358.494368
-146.984069,178,360.554297
204.976023,446,366.343557
156.980774,885,378.219663
-25.583539,1000,392.800787
195.200241,964,407.674716
170.282199,805,420.16397
-1.524412,1000,433.66824
-20.587353,1000,447.92617
-19.662224,1000,460.961228
-11.904135,1000,474.256829
-101.904365,1000,487.054299
-44.925287,1000,501.645944
-60.711296,1000,515.164041
-109.858873,1000,527.761662
-51.571478,1000,541.771026
22.003947,1000,555.352349
-54.223115,1000,569.56477
-130.697244,396,574.500781
-61.141961,1000,588.340173
-143.610386,1000,601.656353
-46.120319,192,603.853518
-108.015941,332,607.886624
-80.390292,748,616.92553
-39.398993,1000,630.005399
-43.958208,1000,643.001562
-23.489467,1000,658.060758
182.387799,839,669.221128
220.494615,720,678.173753
281.744646,876,689.231704
198.837724,243,692.090301
180.379884,305,695.734537
242.272675,307,699.528984
197.865146,485,705.499696
-150.195718,419,710.320075
-1.233607,173,712.328406
224.436091,354,716.568646
240.010638,330,720.73343
249.555227,232,723.553092
249.291111,270,726.928658
-116.617707,73,727.780431
-223.732903,183,729.916371
1.51945,165,731.802595
253.301094,599,739.508559
237.969625,165,741.492362
278.042933,403,746.289818
207.479611,383,750.976075
-58.23251,225,753.577734
278.662062,317,757.39651
295.151536,289,760.96275
151.473517,1000,773.520044
-26.926834,240,776.386649
235.611155,458,782.034298
247.113488,430,787.334038
216.580796,893,798.7836
255.841653,216,801.322947
-18.15575,218,803.921339
234.40044,267,807.065195
-43.890365,1000,820.136679
275.578819,328,824.179363
213.609961,247,827.088006
233.10823,311,830.730299
239.175547,162,832.716131
302.448025,159,834.557804
280.356834,171,836.515582
69.103212,79,837.451433
303.532149,218,840.08242
241.17874,312,844.000563
302.053518,273,847.305566
301.119858,230,849.985135
253.043444,258,853.036571
246.097443,190,855.32465
234.5841,361,859.786704
307.829779,236,862.53217
-6.733982,190,864.840284
228.531953,351,869.098154
170.362395,559,876.232594
244.326333,385,881.462798
