#{"t_start": 1728495488.7869914, "env_id": "LunarLanderContinuous-v2"}
r,l,t
14.593727,1000,789.785443
20.855455,1000,802.181146
8.589523,1000,815.831439
62.527811,1000,829.241327
241.397588,527,835.471095
35.49364,1000,847.65543
42.011415,1000,860.588605
0.781788,1000,873.006166
-2.01021,1000,885.956136
18.810722,1000,899.669394
11.021073,1000,912.489028
-11.15933,1000,926.73626
182.322214,687,934.941189
126.836546,893,946.661393
210.086502,446,952.288018
179.116895,785,962.838727
126.281486,755,972.431813
188.655741,704,981.602503
208.241706,510,988.358892
159.592252,972,1002.270832
189.128915,337,1006.253451
217.143838,287,1009.566463
145.169585,718,1021.763156
220.119444,563,1029.84679
106.559248,1000,1045.655204
228.707866,890,1059.53337
244.296614,572,1067.183807
-14.861326,168,1069.32075
90.06729,1000,1082.661124
11.177718,170,1084.807231
213.987893,596,1092.250013
230.933098,757,1102.510854
148.053773,1000,1116.353918
198.865607,876,1127.998625
