#{"t_start": 1728495488.7869914, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-225.497967,93,0.067062
-212.745706,140,0.134122
-108.183971,90,0.173157
-373.707201,111,0.221202
-246.137633,114,0.272248
-371.09023,77,0.301275
-74.449458,83,0.333303
-85.286999,107,0.380346
-68.165965,128,0.432393
-252.128588,88,0.489445
-46.697362,65,0.514468
-304.213274,140,0.575523
-208.876908,81,0.607552
-121.429985,125,0.656597
-378.562187,114,0.708644
-283.72856,139,0.764695
-248.019992,95,0.804731
-376.22844,107,0.845769
-90.255293,98,0.888808
-56.436727,130,0.950864
-122.683217,167,1.025933
-165.401456,100,1.063967
-114.709548,78,1.096997
-151.716684,142,1.154048
-195.629006,116,1.203093
-322.171372,105,1.246132
-8.347831,77,1.274158
-329.895868,109,1.334212
-273.246748,104,1.374249
-264.899994,104,1.417289
-95.164941,80,1.451319
-319.798031,139,1.505368
-131.928987,105,1.552411
-293.293505,128,1.604458
-342.254611,85,1.641492
-240.832896,130,1.69454
-331.783422,115,1.751592
-265.572567,153,1.814649
-64.134363,166,1.889717
-144.175455,84,1.921747
-116.893006,76,1.953775
-290.336013,124,2.001819
-386.010958,105,2.040854
-91.665299,106,2.085896
-63.948202,81,2.115923
-95.641938,67,2.139945
-43.980516,84,2.180982
-338.475349,89,2.215013
-486.662343,107,2.25505
32.231292,80,2.291082
-166.217211,151,2.356141
-133.107053,124,2.409189
-353.044915,168,2.480253
-370.929342,93,2.52029
8.728005,77,2.549316
-45.135347,113,2.606368
-177.415669,94,2.644403
-258.882124,95,2.681437
-288.854173,91,2.721473
-22.913722,176,2.800545
-158.748336,135,2.860599
-343.17365,103,2.899635
-371.275473,87,2.945676
-197.911263,65,2.977705
-63.447586,78,3.013739
-98.972231,116,3.084803
-368.770022,96,3.12484
-23.517374,81,3.168879
-110.378928,115,3.222928
-201.185123,163,3.298998
-283.630232,101,3.338034
-106.09916,143,3.405094
-259.961868,98,3.447132
-364.586559,89,3.484166
-404.454612,123,3.54322
-47.5398,72,3.576249
-200.148145,97,3.614285
-320.823997,132,3.675339
-194.388736,96,3.711373
-154.10638,92,3.746404
-185.702223,123,3.799452
-220.141727,134,3.853502
-52.656573,83,3.892537
-394.124778,125,3.949589
-58.835351,103,3.995631
-392.246714,140,4.053684
-78.151174,86,4.092719
-439.401301,143,4.155776
-428.635328,87,4.192811
-297.596729,93,4.228843
-91.958812,133,4.282892
-103.086106,90,4.322928
-525.589557,104,4.777244
-337.281304,87,5.684178
-33.532223,100,6.743145
-267.463512,107,7.983496
-59.079365,240,10.587862
-104.782354,1000,22.640351
-121.081446,795,32.180543
-21.759926,461,37.446926
-2.892781,447,42.666916
-27.102645,539,49.06449
-135.271083,530,55.204742
-108.951808,397,59.72274
-135.032433,322,63.33061
-74.921564,490,69.046892
-142.21092,565,75.816941
-124.317225,1000,87.571607
-113.773089,1000,99.715537
-94.746117,1000,113.099574
128.760875,591,120.128507
-197.240045,567,126.44372
-68.202194,318,129.976078
-23.037575,353,133.847962
-108.901246,234,136.423304
-105.099554,170,138.233956
-54.959881,324,141.785576
-126.037865,278,144.744665
-94.346328,274,147.718621
-129.539607,468,153.262659
-181.975178,466,158.577807
-76.263793,493,164.288317
259.075533,507,170.086293
-95.758711,466,175.136143
-44.431474,396,179.779836
-55.036367,237,182.444913
-70.631394,273,185.534721
-49.419141,316,188.930843
158.94673,473,194.286703
248.909748,476,199.613829
-136.19474,552,206.163365
-146.795906,469,211.521746
202.879156,496,217.388594
148.730876,844,228.331432
-39.496341,388,232.6941
-57.542998,668,240.735546
-88.945006,645,248.134044
-42.834076,201,250.326052
-14.941957,373,254.508835
-40.335602,460,259.671557
-77.884297,473,265.194085
185.446299,437,270.035006
-155.797794,650,277.889816
-99.860184,1000,289.65057
-146.670479,1000,301.62045
218.050034,468,306.882306
231.909013,432,311.774142
-39.767116,1000,323.694044
37.296496,213,326.0662
-42.585809,200,328.164107
-64.573038,1000,339.712495
-95.418702,1000,351.847254
-50.115993,1000,363.930211
-85.752287,1000,375.506517
-72.080633,1000,388.615717
-164.556152,112,389.813808
-189.870486,212,392.178732
-187.569467,178,394.123498
-57.665,1000,406.247489
-138.392833,153,407.937489
-126.297571,293,411.217581
-31.068695,1000,424.292457
-52.097366,1000,436.999496
12.493042,1000,449.475137
-34.054122,1000,461.75849
-128.43448,73,462.556215
-80.504369,76,463.365951
-26.324968,1000,475.743946
211.016459,544,482.044665
-94.528866,415,486.775359
-11.308475,1000,499.166928
137.834133,692,507.456672
-74.208296,1000,520.36608
-118.987359,144,521.888961
-103.059635,195,524.056119
-13.236636,1000,536.684964
-47.92879,1000,549.410503
0.222875,994,561.562387
-114.4464,321,565.166662
-28.914101,1000,578.721513
-280.810382,133,580.147448
-64.916432,1000,592.72986
-156.194398,823,602.592242
-82.293017,919,613.840137
-97.359696,1000,627.002574
-130.533866,147,628.612052
17.232766,1000,640.795633
-47.237836,1000,653.448014
-73.779759,217,655.962816
9.295706,1000,669.731617
-255.212392,246,672.459095
-40.560747,1000,685.015836
-311.934338,611,692.609767
-29.168116,1000,705.921948
204.904788,520,712.15852
33.325489,1000,724.337023
0.536985,1000,737.190291
-14.089188,1000,751.020505
-20.439308,1000,764.715714
36.339682,1000,777.415895
